Country,Class,KWh/m^2/day,Avg DHI,,KWh/m^2/day,Class,Capacity Factor
Guyana,4,4-4.5,4.25,,,,
Guyana,5,4.5-5,4.75,,,,
Guyana,6,5-6.25,5.625,,,,
Haiti,5,4.5-5,4.75,,,,
Haiti,6,5-6.25,5.625,,,,
Haiti,7,6.25-7.25,6.75,,,,
Heard I. & McDonald Is.,1,<=3,2,,,,
Honduras,2,3-3.5,3.25,,,,
Honduras,3,3.5-4,3.75,,,,
Honduras,4,4-4.5,4.25,,,,
Honduras,5,4.5-5,4.75,,,,
Honduras,6,5-6.25,5.625,,,,
Honduras,7,6.25-7.25,6.75,,,,
Howland I.,7,6.25-7.25,6.75,,,,
Hungary,4,4-4.5,4.25,,,,
Hungary,5,4.5-5,4.75,,,,
Hungary,6,5-6.25,5.625,,,,
Iceland,1,<=3,2,,,,
Iceland,2,3-3.5,3.25,,,,
Iceland,3,3.5-4,3.75,,,,
Iceland,4,4-4.5,4.25,,,,
India,1,<=3,2,,,,
India,10,>7.75,9,,,,
India,2,3-3.5,3.25,,,,
India,3,3.5-4,3.75,,,,
India,4,4-4.5,4.25,,,,
India,5,4.5-5,4.75,,,,
India,6,5-6.25,5.625,,,,
India,7,6.25-7.25,6.75,,,,
India,8,7.25-7.5,7.375,,,,
India,9,7.5-7.75,7.625,,,,
Indonesia,2,3-3.5,3.25,,,,
Indonesia,3,3.5-4,3.75,,,,
Indonesia,4,4-4.5,4.25,,,,
Indonesia,5,4.5-5,4.75,,,,
Indonesia,6,5-6.25,5.625,,,,
Indonesia,7,6.25-7.25,6.75,,,,
Indonesia,8,7.25-7.5,7.375,,,,
Iran,1,<=3,2,,,,
Iran,10,>7.75,9,,,,
Iran,2,3-3.5,3.25,,,,
Iran,3,3.5-4,3.75,,,,
Iran,4,4-4.5,4.25,,,,
Iran,5,4.5-5,4.75,,,,
Iran,6,5-6.25,5.625,,,,
Iran,7,6.25-7.25,6.75,,,,
Iran,8,7.25-7.5,7.375,,,,
Iran,9,7.5-7.75,7.625,,,,
Iraq,5,4.5-5,4.75,,,,
Iraq,6,5-6.25,5.625,,,,
Iraq,7,6.25-7.25,6.75,,,,
Ireland,1,<=3,2,,,,
Ireland,3,3.5-4,3.75,,,,
Ireland,4,4-4.5,4.25,,,,
Isle of Man,1,<=3,2,,,,
Isle of Man,3,3.5-4,3.75,,,,
Israel,5,4.5-5,4.75,,,,
Israel,6,5-6.25,5.625,,,,
Israel,7,6.25-7.25,6.75,,,,
Italy,2,3-3.5,3.25,,,,
Italy,3,3.5-4,3.75,,,,
Italy,4,4-4.5,4.25,,,,
Italy,5,4.5-5,4.75,,,,
Italy,6,5-6.25,5.625,,,,
Italy,7,6.25-7.25,6.75,,,,
Italy,8,7.25-7.5,7.375,,,,
Italy,9,7.5-7.75,7.625,,,,
Jamaica,4,4-4.5,4.25,,,,
Jamaica,5,4.5-5,4.75,,,,
Jamaica,6,5-6.25,5.625,,,,
Jan Mayen,1,<=3,2,,,,
Jan Mayen,2,3-3.5,3.25,,,,
Jan Mayen,3,3.5-4,3.75,,,,
Japan,2,3-3.5,3.25,,,,
Japan,3,3.5-4,3.75,,,,
Japan,4,4-4.5,4.25,,,,
Japan,5,4.5-5,4.75,,,,
Jarvis I.,9,7.5-7.75,7.625,,,,
Jersey,3,3.5-4,3.75,,,,
Jersey,5,4.5-5,4.75,,,,
Johnston Atoll,7,6.25-7.25,6.75,,,,
Jordan,6,5-6.25,5.625,,,,
Jordan,7,6.25-7.25,6.75,,,,
Jordan,8,7.25-7.5,7.375,,,,
Juan De Nova I.,5,4.5-5,4.75,,,,
Kazakhstan,2,3-3.5,3.25,,,,
Kazakhstan,3,3.5-4,3.75,,,,
Kazakhstan,4,4-4.5,4.25,,,,
Kazakhstan,5,4.5-5,4.75,,,,
Kazakhstan,6,5-6.25,5.625,,,,
Kenya,1,<=3,2,,,,
Kenya,2,3-3.5,3.25,,,,
Kenya,3,3.5-4,3.75,,,,
Kenya,4,4-4.5,4.25,,,,
Kenya,5,4.5-5,4.75,,,,
Kenya,6,5-6.25,5.625,,,,
Kenya,7,6.25-7.25,6.75,,,,
Kiribati,8,7.25-7.5,7.375,,,,
Kuwait,3,3.5-4,3.75,,,,
Kuwait,4,4-4.5,4.25,,,,
